date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:00	153/153	---M-Z	200	added ('OK')	text/plain	date:Sat,%2028%20Dec%202024%2019:55:59%20GMT	https://www.adroit-immo.com/robots.txt		(from )
20:56:00	159385/159385	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:00%20GMT	https://www.adroit-immo.com/	~/adroit/www.adroit-immo.com/index.html	(from )
20:56:01	942/942	---M--	200	added ('OK')	image/png	etag:%223ae-60d68f08e4304%22	https://www.adroit-immo.com/images/favicon.png	~/adroit/www.adroit-immo.com/images/favicon.png	(from https://www.adroit-immo.com/)
20:56:02	9255/9255	---M--	200	added ('OK')	image/png	etag:%222427-60d68f08ef2f6%22	https://www.adroit-immo.com/images/logo_og.png	~/adroit/www.adroit-immo.com/images/logo_og.png	(from https://www.adroit-immo.com/)
20:56:03	7888/7888	---M--	200	added ('OK')	image/png	etag:%221ed0-60d68f08f1c7a%22	https://www.adroit-immo.com/images/logo_twittercard.png	~/adroit/www.adroit-immo.com/images/logo_twittercard.png	(from https://www.adroit-immo.com/)
20:56:04	219216/219216	---M-Z	200	added ('OK')	application/javascript	etag:%2235850-61d48a5233b40-gzip%22	https://www.adroit-immo.com/js/main.min.js?v=1.9.2	~/adroit/www.adroit-immo.com/js/main.min5849.js	(from https://www.adroit-immo.com/)
20:56:06	504895/504895	---MCZ	200	added ('OK')	application/javascript	etag:%227b43f-61d48a524b693-gzip%22	https://www.adroit-immo.com/js/vendors/vendors.min.js?v=1.9.2	~/adroit/www.adroit-immo.com/js/vendors/vendors.min5849.js	(from https://www.adroit-immo.com/)
20:56:07	931455/931455	---MCZ	200	added ('OK')	text/css	etag:%22e367f-61d48a51dde90-gzip%22	https://www.adroit-immo.com/css/screen.css?v=1.9.2	~/adroit/www.adroit-immo.com/css/screen5849.css	(from https://www.adroit-immo.com/)
20:56:07	150159/150159	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:07%20GMT	https://www.adroit-immo.com/estimation?expand=estimation_rapide_group	~/adroit/www.adroit-immo.com/estimation0b46.html	(from https://www.adroit-immo.com/)
20:56:08	80494/80494	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:08%20GMT	https://www.adroit-immo.com/selection	~/adroit/www.adroit-immo.com/selection.html	(from https://www.adroit-immo.com/)
20:56:09	16608/16608	---M--	200	added ('OK')	image/png	etag:%2240e0-60d68f08eb0c6%22	https://www.adroit-immo.com/images/logoSite.png	~/adroit/www.adroit-immo.com/images/logoSite.png	(from https://www.adroit-immo.com/)
20:56:10	158674/158674	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:10%20GMT	https://www.adroit-immo.com/vente/1	~/adroit/www.adroit-immo.com/vente/1.html	(from https://www.adroit-immo.com/)
20:56:11	172118/172118	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:11%20GMT	https://www.adroit-immo.com/location/1	~/adroit/www.adroit-immo.com/location/1.html	(from https://www.adroit-immo.com/)
20:56:12	75617/75617	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:12%20GMT	https://www.adroit-immo.com/gestion-location	~/adroit/www.adroit-immo.com/gestion-location.html	(from https://www.adroit-immo.com/)
20:56:13	70387/70387	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:13%20GMT	https://www.adroit-immo.com/transaction	~/adroit/www.adroit-immo.com/transaction.html	(from https://www.adroit-immo.com/)
20:56:14	72966/72966	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:14%20GMT	https://www.adroit-immo.com/garantie-loyers-impayes	~/adroit/www.adroit-immo.com/garantie-loyers-impayes.html	(from https://www.adroit-immo.com/)
20:56:15	72987/72987	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:15%20GMT	https://www.adroit-immo.com/proprietaire-non-occupant	~/adroit/www.adroit-immo.com/proprietaire-non-occupant.html	(from https://www.adroit-immo.com/)
20:56:16	86766/86766	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:16%20GMT	https://www.adroit-immo.com/contact	~/adroit/www.adroit-immo.com/contact.html	(from https://www.adroit-immo.com/)
20:56:17	101363/101363	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:17%20GMT	https://www.adroit-immo.com/alerte-email	~/adroit/www.adroit-immo.com/alerte-email.html	(from https://www.adroit-immo.com/)
20:56:18	150159/150159	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:18%20GMT	https://www.adroit-immo.com/estimation?expand=estimation_pro_group	~/adroit/www.adroit-immo.com/estimationec2b.html	(from https://www.adroit-immo.com/)
20:56:19	150159/150159	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:19%20GMT	https://www.adroit-immo.com/estimation	~/adroit/www.adroit-immo.com/estimation.html	(from https://www.adroit-immo.com/)
20:56:20	73849/73849	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:20%20GMT	https://www.adroit-immo.com/nous-confier-gestion-votre-bien	~/adroit/www.adroit-immo.com/nous-confier-gestion-votre-bien.html	(from https://www.adroit-immo.com/)
20:56:20	156655/156655	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:20%20GMT	https://www.adroit-immo.com/vente/1-marmande/maison/t5/173-en-exclusivite-charme-de-l-ancien/	~/adroit/www.adroit-immo.com/vente/1-marmande/maison/t5/173-en-exclusivite-charme-de-l-ancien/index.html	(from https://www.adroit-immo.com/)
20:56:21	182001/182001	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:21%20GMT	https://www.adroit-immo.com/admin/espace_client.php	~/adroit/www.adroit-immo.com/admin/espace_client.html	(from https://www.adroit-immo.com/)
20:56:22	3584/3584	---M--	200	added ('OK')	image/png	etag:%22e00-60d68f0820c68%22	https://www.adroit-immo.com/images/modules/partners/fnaim.png	~/adroit/www.adroit-immo.com/images/modules/partners/fnaim.png	(from https://www.adroit-immo.com/)
20:56:23	1929/1929	---M--	200	added ('OK')	image/png	etag:%22789-60d68f08232c4%22	https://www.adroit-immo.com/images/modules/partners/interkab.png	~/adroit/www.adroit-immo.com/images/modules/partners/interkab.png	(from https://www.adroit-immo.com/)
20:56:24	73136/73136	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:24%20GMT	https://www.adroit-immo.com/honoraires	~/adroit/www.adroit-immo.com/honoraires.html	(from https://www.adroit-immo.com/)
20:56:25	73700/73700	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:25%20GMT	https://www.adroit-immo.com/plan-du-site	~/adroit/www.adroit-immo.com/plan-du-site.html	(from https://www.adroit-immo.com/)
20:56:26	79333/79333	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:26%20GMT	https://www.adroit-immo.com/mentions-legales	~/adroit/www.adroit-immo.com/mentions-legales.html	(from https://www.adroit-immo.com/)
20:56:27	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Dec%202024%2019:56:27%20GMT	https://www.adroit-immo.com/admin	~/adroit/www.adroit-immo.com/admin.1a.delayed	(from https://www.adroit-immo.com/)
20:56:28	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2028%20Dec%202024%2019:56:28%20GMT	http://www.adroit-immo.com/admin/	~/adroit/www.adroit-immo.com/admin/index.html	(from https://www.adroit-immo.com/)
20:56:28	74481/74481	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:28%20GMT	https://www.adroit-immo.com/nos-liens	~/adroit/www.adroit-immo.com/nos-liens.html	(from https://www.adroit-immo.com/)
20:56:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Dec%202024%2019:56:29%20GMT	https://www.adroit-immo.com/i/redac/politiquecookies	~/adroit/www.adroit-immo.com/i/redac/politiquecookies.1c.delayed	(from https://www.adroit-immo.com/)
20:56:30	78729/78729	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2019:56:30%20GMT	https://www.adroit-immo.com/politique-cookies	~/adroit/www.adroit-immo.com/politique-cookies.html	(from https://www.adroit-immo.com/)
20:56:34	223288/223288	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2236838-60da554a826f0%22	https://www.adroit-immo.com/css/fonts/font-cityscan.eot?	~/adroit/www.adroit-immo.com/css/fonts/font-cityscand41d.eot	(from https://www.adroit-immo.com/css/screen.css?v=1.9.2)
20:56:39	133828/133828	---M--	200	added ('OK')	font/woff	etag:%2220ac4-60da554a99fdb%22	https://www.adroit-immo.com/css/fonts/font-cityscan.woff	~/adroit/www.adroit-immo.com/css/fonts/font-cityscan.woff	(from https://www.adroit-immo.com/css/screen.css?v=1.9.2)
20:56:40	107964/107964	---M--	200	added ('OK')	font/woff2	etag:%221a5bc-60da554a9f4f6%22	https://www.adroit-immo.com/css/fonts/font-cityscan.woff2	~/adroit/www.adroit-immo.com/css/fonts/font-cityscan.woff2	(from https://www.adroit-immo.com/css/screen.css?v=1.9.2)
20:56:41	223120/223120	---M--	200	added ('OK')	font/ttf	etag:%2236790-60da554a94c30%22	https://www.adroit-immo.com/css/fonts/font-cityscan.ttf	~/adroit/www.adroit-immo.com/css/fonts/font-cityscan.ttf	(from https://www.adroit-immo.com/css/screen.css?v=1.9.2)
